Code client SAP;Code client Generix
0000206870;17347001
0000206871;17347002
0000206872;17347004
0000206873;17347005
0000206874;17360001
0000206875;17365001
0000206876;17380002
0000206877;17385001
0000206878;17385003
0000206879;17387001
0000206880;17396001
0000206881;17397002
0000206882;17409001
0000206883;17409005
0000206884;17411003
0000206885;17415003
0000206886;17415004
0000206887;17415006
0000206888;17415007
0000206889;17415008
0000206890;17415009
0000206891;17415010
0000206892;17415100
0000206692;17415103
0000206693;17420002
0000206694;17421001
0000206695;17421009
0000206696;17425002
0000206697;17429001
0000206698;17434001
0000206699;17434003
0000206700;17434004
0000206701;17434006
0000206702;17434007
0000206703;17449001
0000206704;17449002
0000206705;17452004
0000206706;17452005
0000206707;17461002
0000206708;17461003
0000206709;18003002
0000206710;18011001
0000206711;18015001
0000206712;18015002
0000206713;18015003
0000206714;18018001
0000206715;18033006
0000206716;18033008
0000206717;18033009
0000206718;18033010
0000206719;18033013
0000206720;18033014
0000206721;18033015
0000206722;18033016
0000206723;18057001
0000206724;18058001
0000206725;18059002
0000206726;18087004
0000206727;180RECYPAL
0000206728;18108002
0000206729;18109001
0000206730;18127001
0000206731;18141001
0000206732;18141002
0000206733;18160001
0000206734;18197001
0000206735;18197002
0000206736;18197005
0000206737;18197008
0000206738;18197009
0000206739;18205005
0000206740;18207002
0000206741;18207003
0000206742;18223001
0000900011;18223115
0000206743;18241001
0000206744;18242001
0000206745;18267001
0000206746;18279001
0000206747;18279004
0000206748;18279012
0000206749;18279013
0000206750;18279014
0000206751;18279019
0000206752;19005001
0000206753;19007001
0000206754;19010001
0000206755;19010003
0000206756;19028005
0000206757;19031002
0000206758;19031003
0000206759;19031006
0000207916;19031006_F
0000206760;19031010
0000206761;19031016
0000206762;19031119
0000206763;19031122
0000206764;19063120
0000206765;19072001
0000206766;19073002
0000206767;19073003
0000206768;19101001
0000206769;19121002
0000206770;19138001
0000206771;19138003
0000206772;19148002
0000206773;19153002
0000206774;19153003
0000206775;19243001
0000206776;19255001
0000206777;19269001
0000206778;19272002
0000206779;19272003
0000206780;19275001
0000206781;19275002
0000206782;19276001
0000206783;19276003
0000206784;20004002
0000206785;20004018
0000206786;20004024
0000206788;20004026
0000206789;20004027
0000206790;20004029
0000206791;20004030
